site,target,metric,value,n
rosedene,nee,mae,1.206947922706604,20968
rosedene,nee,rmse,2.0502123832702637,20968
rosedene,nee,bias,-0.033708930015563965,20968
rosedene,nee,r2,0.5533879399299622,20968
rosedene,nee,mmd,0.04755198846022747,20968
rosedene,nee,kl,0.03678093628635313,20968
rosedene,nee,wasserstein,0.12982518072840574,20968
rosedene,nee_mean,mae,0.9071648716926575,20968
rosedene,nee_mean,rmse,1.780712604522705,20968
rosedene,nee_mean,bias,0.02181251533329487,20968
rosedene,nee_mean,r2,0.6630849838256836,20968
rosedene,nee_mean,mmd,0.02132215814649849,20968
rosedene,nee_mean,kl,0.006516523547097638,20968
rosedene,nee_mean,wasserstein,0.026130639130956076,20968
rosedene,f,mae,0.03023882955312729,20968
rosedene,f,rmse,0.059357088059186935,20968
rosedene,f,bias,0.0007270839996635914,20968
rosedene,f,r2,-0.0009304285049438477,20968
rosedene,f,mmd,0.005304092036718855,20968
rosedene,f,kl,8.917834987542363,20968
rosedene,f,wasserstein,0.02944973381261682,20968
