site,target,metric,value,n
woodwalton,nee,mae,0.5882067680358887,17164
woodwalton,nee,rmse,1.2687492370605469,17164
woodwalton,nee,bias,0.08614178746938705,17164
woodwalton,nee,r2,0.7487354278564453,17164
woodwalton,nee,mmd,0.01646818550199224,17164
woodwalton,nee,kl,0.03784877917618988,17164
woodwalton,nee,wasserstein,0.09190824535818347,17164
woodwalton,nee_mean,mae,0.5378325581550598,17164
woodwalton,nee_mean,rmse,1.2461185455322266,17164
woodwalton,nee_mean,bias,0.090286023914814,17164
woodwalton,nee_mean,r2,0.7576190829277039,17164
woodwalton,nee_mean,mmd,0.01711424039875184,17164
woodwalton,nee_mean,kl,0.02907326316238259,17164
woodwalton,nee_mean,wasserstein,0.09890553470302892,17164
woodwalton,f,mae,0.017927752807736397,17164
woodwalton,f,rmse,0.04153728485107422,17164
woodwalton,f,bias,0.0030095342081040144,17164
woodwalton,f,r2,-0.019599556922912598,17164
woodwalton,f,mmd,0.004488470779016171,17164
woodwalton,f,kl,4.049222059026326,17164
woodwalton,f,wasserstein,0.016500052911802277,17164
